season,lg,team,abbreviation,playoffs
1988,NBA,Sacramento Kings,SAC,FALSE
1988,NBA,San Antonio Spurs,SAS,TRUE
1988,NBA,Seattle SuperSonics,SEA,TRUE
1988,NBA,Utah Jazz,UTA,TRUE
1988,NBA,Washington Bullets,WSB,TRUE
1987,NBA,Atlanta Hawks,ATL,TRUE
1987,NBA,Boston Celtics,BOS,TRUE
1987,NBA,Chicago Bulls,CHI,TRUE
1987,NBA,Cleveland Cavaliers,CLE,FALSE
1987,NBA,Dallas Mavericks,DAL,TRUE
1987,NBA,Denver Nuggets,DEN,TRUE
1987,NBA,Detroit Pistons,DET,TRUE
1987,NBA,Golden State Warriors,GSW,TRUE
1987,NBA,Houston Rockets,HOU,TRUE
1987,NBA,Indiana Pacers,IND,TRUE
1987,NBA,Los Angeles Clippers,LAC,FALSE
1987,NBA,Los Angeles Lakers,LAL,TRUE
1987,NBA,Milwaukee Bucks,MIL,TRUE
1987,NBA,New Jersey Nets,NJN,FALSE
1987,NBA,New York Knicks,NYK,FALSE
1987,NBA,Philadelphia 76ers,PHI,TRUE
1987,NBA,Phoenix Suns,PHO,FALSE
1987,NBA,Portland Trail Blazers,POR,TRUE
1987,NBA,Sacramento Kings,SAC,FALSE
1987,NBA,San Antonio Spurs,SAS,FALSE
1987,NBA,Seattle SuperSonics,SEA,TRUE
1987,NBA,Utah Jazz,UTA,TRUE
1987,NBA,Washington Bullets,WSB,TRUE
1986,NBA,Atlanta Hawks,ATL,TRUE
1986,NBA,Boston Celtics,BOS,TRUE
1986,NBA,Chicago Bulls,CHI,TRUE
1986,NBA,Cleveland Cavaliers,CLE,FALSE
1986,NBA,Dallas Mavericks,DAL,TRUE
1986,NBA,Denver Nuggets,DEN,TRUE
1986,NBA,Detroit Pistons,DET,TRUE
1986,NBA,Golden State Warriors,GSW,FALSE
1986,NBA,Houston Rockets,HOU,TRUE
1986,NBA,Indiana Pacers,IND,FALSE
1986,NBA,Los Angeles Clippers,LAC,FALSE
1986,NBA,Los Angeles Lakers,LAL,TRUE
1986,NBA,Milwaukee Bucks,MIL,TRUE
1986,NBA,New Jersey Nets,NJN,TRUE
1986,NBA,New York Knicks,NYK,FALSE
1986,NBA,Philadelphia 76ers,PHI,TRUE
1986,NBA,Phoenix Suns,PHO,FALSE
1986,NBA,Portland Trail Blazers,POR,TRUE
1986,NBA,Sacramento Kings,SAC,TRUE
1986,NBA,San Antonio Spurs,SAS,TRUE
1986,NBA,Seattle SuperSonics,SEA,FALSE
1986,NBA,Utah Jazz,UTA,TRUE
1986,NBA,Washington Bullets,WSB,TRUE
1985,NBA,Atlanta Hawks,ATL,FALSE
1985,NBA,Boston Celtics,BOS,TRUE
1985,NBA,Chicago Bulls,CHI,TRUE
1985,NBA,Cleveland Cavaliers,CLE,TRUE
1985,NBA,Dallas Mavericks,DAL,TRUE
1985,NBA,Denver Nuggets,DEN,TRUE
1985,NBA,Detroit Pistons,DET,TRUE
1985,NBA,Golden State Warriors,GSW,FALSE
1985,NBA,Houston Rockets,HOU,TRUE
1985,NBA,Indiana Pacers,IND,FALSE
1985,NBA,Kansas City Kings,KCK,FALSE
1985,NBA,Los Angeles Clippers,LAC,FALSE
1985,NBA,Los Angeles Lakers,LAL,TRUE
1985,NBA,Milwaukee Bucks,MIL,TRUE
1985,NBA,New Jersey Nets,NJN,TRUE
1985,NBA,New York Knicks,NYK,FALSE
1985,NBA,Philadelphia 76ers,PHI,TRUE
1985,NBA,Phoenix Suns,PHO,TRUE
1985,NBA,Portland Trail Blazers,POR,TRUE
1985,NBA,San Antonio Spurs,SAS,TRUE
1985,NBA,Seattle SuperSonics,SEA,FALSE
1985,NBA,Utah Jazz,UTA,TRUE
1985,NBA,Washington Bullets,WSB,TRUE
1984,NBA,Atlanta Hawks,ATL,TRUE
1984,NBA,Boston Celtics,BOS,TRUE
1984,NBA,Chicago Bulls,CHI,FALSE
1984,NBA,Cleveland Cavaliers,CLE,FALSE
1984,NBA,Dallas Mavericks,DAL,TRUE
1984,NBA,Denver Nuggets,DEN,TRUE
1984,NBA,Detroit Pistons,DET,TRUE
1984,NBA,Golden State Warriors,GSW,FALSE
1984,NBA,Houston Rockets,HOU,FALSE
1984,NBA,Indiana Pacers,IND,FALSE
1984,NBA,Kansas City Kings,KCK,TRUE
1984,NBA,Los Angeles Lakers,LAL,TRUE
1984,NBA,Milwaukee Bucks,MIL,TRUE
1984,NBA,New Jersey Nets,NJN,TRUE
1984,NBA,New York Knicks,NYK,TRUE
1984,NBA,Philadelphia 76ers,PHI,TRUE
1984,NBA,Phoenix Suns,PHO,TRUE
1984,NBA,Portland Trail Blazers,POR,TRUE
1984,NBA,San Antonio Spurs,SAS,FALSE
1984,NBA,San Diego Clippers,SDC,FALSE
1984,NBA,Seattle SuperSonics,SEA,TRUE
1984,NBA,Utah Jazz,UTA,TRUE
1984,NBA,Washington Bullets,WSB,TRUE
1983,NBA,Atlanta Hawks,ATL,TRUE
1983,NBA,Boston Celtics,BOS,TRUE
1983,NBA,Chicago Bulls,CHI,FALSE
1983,NBA,Cleveland Cavaliers,CLE,FALSE
1983,NBA,Dallas Mavericks,DAL,FALSE
1983,NBA,Denver Nuggets,DEN,TRUE
1983,NBA,Detroit Pistons,DET,FALSE
1983,NBA,Golden State Warriors,GSW,FALSE
1983,NBA,Houston Rockets,HOU,FALSE
1983,NBA,Indiana Pacers,IND,FALSE
1983,NBA,Kansas City Kings,KCK,FALSE
1983,NBA,Los Angeles Lakers,LAL,TRUE
1983,NBA,Milwaukee Bucks,MIL,TRUE
1983,NBA,New Jersey Nets,NJN,TRUE
1983,NBA,New York Knicks,NYK,TRUE
1983,NBA,Philadelphia 76ers,PHI,TRUE
1983,NBA,Phoenix Suns,PHO,TRUE
1983,NBA,Portland Trail Blazers,POR,TRUE
1983,NBA,San Antonio Spurs,SAS,TRUE
1983,NBA,San Diego Clippers,SDC,FALSE
1983,NBA,Seattle SuperSonics,SEA,TRUE
1983,NBA,Utah Jazz,UTA,FALSE
1983,NBA,Washington Bullets,WSB,FALSE
1982,NBA,Atlanta Hawks,ATL,TRUE
1982,NBA,Boston Celtics,BOS,TRUE
1982,NBA,Chicago Bulls,CHI,FALSE
1982,NBA,Cleveland Cavaliers,CLE,FALSE
1982,NBA,Dallas Mavericks,DAL,FALSE
1982,NBA,Denver Nuggets,DEN,TRUE
1982,NBA,Detroit Pistons,DET,FALSE
1982,NBA,Golden State Warriors,GSW,FALSE
1982,NBA,Houston Rockets,HOU,TRUE
1982,NBA,Indiana Pacers,IND,FALSE
1982,NBA,Kansas City Kings,KCK,FALSE
1982,NBA,Los Angeles Lakers,LAL,TRUE
1982,NBA,Milwaukee Bucks,MIL,TRUE
1982,NBA,New Jersey Nets,NJN,TRUE
1982,NBA,New York Knicks,NYK,FALSE
1982,NBA,Philadelphia 76ers,PHI,TRUE
1982,NBA,Phoenix Suns,PHO,TRUE
1982,NBA,Portland Trail Blazers,POR,FALSE
1982,NBA,San Antonio Spurs,SAS,TRUE
1982,NBA,San Diego Clippers,SDC,FALSE
1982,NBA,Seattle SuperSonics,SEA,TRUE
1982,NBA,Utah Jazz,UTA,FALSE
1982,NBA,Washington Bullets,WSB,TRUE
1981,NBA,Atlanta Hawks,ATL,FALSE
1981,NBA,Boston Celtics,BOS,TRUE
1981,NBA,Chicago Bulls,CHI,TRUE
1981,NBA,Cleveland Cavaliers,CLE,FALSE
1981,NBA,Dallas Mavericks,DAL,FALSE
1981,NBA,Denver Nuggets,DEN,FALSE
1981,NBA,Detroit Pistons,DET,FALSE
1981,NBA,Golden State Warriors,GSW,FALSE
1981,NBA,Houston Rockets,HOU,TRUE
1981,NBA,Indiana Pacers,IND,TRUE
1981,NBA,Kansas City Kings,KCK,TRUE
1981,NBA,Los Angeles Lakers,LAL,TRUE
1981,NBA,Milwaukee Bucks,MIL,TRUE
1981,NBA,New Jersey Nets,NJN,FALSE
1981,NBA,New York Knicks,NYK,TRUE
1981,NBA,Philadelphia 76ers,PHI,TRUE
1981,NBA,Phoenix Suns,PHO,TRUE
1981,NBA,Portland Trail Blazers,POR,TRUE
1981,NBA,San Antonio Spurs,SAS,TRUE
1981,NBA,San Diego Clippers,SDC,FALSE
1981,NBA,Seattle SuperSonics,SEA,FALSE
1981,NBA,Utah Jazz,UTA,FALSE
1981,NBA,Washington Bullets,WSB,FALSE
1980,NBA,Atlanta Hawks,ATL,TRUE
1980,NBA,Boston Celtics,BOS,TRUE
1980,NBA,Chicago Bulls,CHI,FALSE
1980,NBA,Cleveland Cavaliers,CLE,FALSE
1980,NBA,Denver Nuggets,DEN,FALSE
1980,NBA,Detroit Pistons,DET,FALSE
1980,NBA,Golden State Warriors,GSW,FALSE
1980,NBA,Houston Rockets,HOU,TRUE
1980,NBA,Indiana Pacers,IND,FALSE
1980,NBA,Kansas City Kings,KCK,TRUE
1980,NBA,Los Angeles Lakers,LAL,TRUE
1980,NBA,Milwaukee Bucks,MIL,TRUE
1980,NBA,New Jersey Nets,NJN,FALSE
1980,NBA,New York Knicks,NYK,FALSE
1980,NBA,Philadelphia 76ers,PHI,TRUE
1980,NBA,Phoenix Suns,PHO,TRUE
1980,NBA,Portland Trail Blazers,POR,TRUE
1980,NBA,San Antonio Spurs,SAS,TRUE
1980,NBA,San Diego Clippers,SDC,FALSE
1980,NBA,Seattle SuperSonics,SEA,TRUE
1980,NBA,Utah Jazz,UTA,FALSE
1980,NBA,Washington Bullets,WSB,TRUE
1979,NBA,Atlanta Hawks,ATL,TRUE
1979,NBA,Boston Celtics,BOS,FALSE
1979,NBA,Chicago Bulls,CHI,FALSE
1979,NBA,Cleveland Cavaliers,CLE,FALSE
1979,NBA,Denver Nuggets,DEN,TRUE
1979,NBA,Detroit Pistons,DET,FALSE
1979,NBA,Golden State Warriors,GSW,FALSE
1979,NBA,Houston Rockets,HOU,TRUE
1979,NBA,Indiana Pacers,IND,FALSE
1979,NBA,Kansas City Kings,KCK,TRUE
1979,NBA,Los Angeles Lakers,LAL,TRUE
1979,NBA,Milwaukee Bucks,MIL,FALSE
1979,NBA,New Jersey Nets,NJN,TRUE
1979,NBA,New Orleans Jazz,NOJ,FALSE
1979,NBA,New York Knicks,NYK,FALSE
1979,NBA,Philadelphia 76ers,PHI,TRUE
1979,NBA,Phoenix Suns,PHO,TRUE
1979,NBA,Portland Trail Blazers,POR,TRUE
1979,NBA,San Antonio Spurs,SAS,TRUE
1979,NBA,San Diego Clippers,SDC,FALSE
1979,NBA,Seattle SuperSonics,SEA,TRUE
1979,NBA,Washington Bullets,WSB,TRUE
1978,NBA,Atlanta Hawks,ATL,TRUE
1978,NBA,Boston Celtics,BOS,FALSE
1978,NBA,Buffalo Braves,BUF,FALSE
1978,NBA,Chicago Bulls,CHI,FALSE
1978,NBA,Cleveland Cavaliers,CLE,TRUE
1978,NBA,Denver Nuggets,DEN,TRUE
1978,NBA,Detroit Pistons,DET,FALSE
1978,NBA,Golden State Warriors,GSW,FALSE
1978,NBA,Houston Rockets,HOU,FALSE
1978,NBA,Indiana Pacers,IND,FALSE
1978,NBA,Kansas City Kings,KCK,FALSE
1978,NBA,Los Angeles Lakers,LAL,TRUE
1978,NBA,Milwaukee Bucks,MIL,TRUE
1978,NBA,New Jersey Nets,NJN,FALSE
1978,NBA,New Orleans Jazz,NOJ,FALSE
1978,NBA,New York Knicks,NYK,TRUE
1978,NBA,Philadelphia 76ers,PHI,TRUE
1978,NBA,Phoenix Suns,PHO,TRUE
1978,NBA,Portland Trail Blazers,POR,TRUE
1978,NBA,San Antonio Spurs,SAS,TRUE
1978,NBA,Seattle SuperSonics,SEA,TRUE
1978,NBA,Washington Bullets,WSB,TRUE
1977,NBA,Atlanta Hawks,ATL,FALSE
1977,NBA,Boston Celtics,BOS,TRUE
1977,NBA,Buffalo Braves,BUF,FALSE
1977,NBA,Chicago Bulls,CHI,TRUE
1977,NBA,Cleveland Cavaliers,CLE,TRUE
1977,NBA,Denver Nuggets,DEN,TRUE
1977,NBA,Detroit Pistons,DET,TRUE
1977,NBA,Golden State Warriors,GSW,TRUE
1977,NBA,Houston Rockets,HOU,TRUE
1977,NBA,Indiana Pacers,IND,FALSE
1977,NBA,Kansas City Kings,KCK,FALSE
1977,NBA,Los Angeles Lakers,LAL,TRUE
1977,NBA,Milwaukee Bucks,MIL,FALSE
1977,NBA,New Orleans Jazz,NOJ,FALSE
1977,NBA,New York Knicks,NYK,FALSE
1977,NBA,New York Nets,NYN,FALSE
1977,NBA,Philadelphia 76ers,PHI,TRUE
1977,NBA,Phoenix Suns,PHO,FALSE
1977,NBA,Portland Trail Blazers,POR,TRUE
1977,NBA,San Antonio Spurs,SAS,TRUE
1977,NBA,Seattle SuperSonics,SEA,FALSE
1977,NBA,Washington Bullets,WSB,TRUE
1976,ABA,Denver Nuggets,DNA,TRUE
1976,ABA,Indiana Pacers,INA,TRUE
1976,ABA,Kentucky Colonels,KEN,TRUE
1976,ABA,New York Nets,NYA,TRUE
1976,ABA,San Antonio Spurs,SAA,TRUE
1976,ABA,San Diego Sails,SDS,FALSE
1976,ABA,Spirits of St. Louis,SSL,FALSE
1976,ABA,Utah Stars,UTS,FALSE
1976,ABA,Virginia Squires,VIR,FALSE
1976,NBA,Atlanta Hawks,ATL,FALSE
1976,NBA,Boston Celtics,BOS,TRUE
1976,NBA,Buffalo Braves,BUF,TRUE
1976,NBA,Chicago Bulls,CHI,FALSE
1976,NBA,Cleveland Cavaliers,CLE,TRUE
1976,NBA,Detroit Pistons,DET,TRUE
1976,NBA,Golden State Warriors,GSW,TRUE
1976,NBA,Houston Rockets,HOU,FALSE
1976,NBA,Kansas City Kings,KCK,FALSE
1976,NBA,Los Angeles Lakers,LAL,FALSE
1976,NBA,Milwaukee Bucks,MIL,TRUE
1976,NBA,New Orleans Jazz,NOJ,FALSE
1976,NBA,New York Knicks,NYK,FALSE
1976,NBA,Philadelphia 76ers,PHI,TRUE
1976,NBA,Phoenix Suns,PHO,TRUE
1976,NBA,Portland Trail Blazers,POR,FALSE
1976,NBA,Seattle SuperSonics,SEA,TRUE
1976,NBA,Washington Bullets,WSB,TRUE
1975,ABA,Denver Nuggets,DNA,TRUE
1975,ABA,Indiana Pacers,INA,TRUE
1975,ABA,Kentucky Colonels,KEN,TRUE
1975,ABA,Memphis Sounds,MMS,TRUE
1975,ABA,New York Nets,NYA,TRUE
1975,ABA,San Antonio Spurs,SAA,TRUE
1975,ABA,San Diego Conquistadors,SDA,FALSE
1975,ABA,Spirits of St. Louis,SSL,TRUE
1975,ABA,Utah Stars,UTS,TRUE
1975,ABA,Virginia Squires,VIR,FALSE
1975,NBA,Atlanta Hawks,ATL,FALSE
1975,NBA,Boston Celtics,BOS,TRUE
1975,NBA,Buffalo Braves,BUF,TRUE
1975,NBA,Chicago Bulls,CHI,TRUE
1975,NBA,Cleveland Cavaliers,CLE,FALSE
1975,NBA,Detroit Pistons,DET,TRUE
1975,NBA,Golden State Warriors,GSW,TRUE
1975,NBA,Houston Rockets,HOU,TRUE
1975,NBA,Kansas City-Omaha Kings,KCO,TRUE
1975,NBA,Los Angeles Lakers,LAL,FALSE
1975,NBA,Milwaukee Bucks,MIL,FALSE
1975,NBA,New Orleans Jazz,NOJ,FALSE
1975,NBA,New York Knicks,NYK,TRUE
1975,NBA,Philadelphia 76ers,PHI,FALSE
1975,NBA,Phoenix Suns,PHO,FALSE
1975,NBA,Portland Trail Blazers,POR,FALSE
1975,NBA,Seattle SuperSonics,SEA,TRUE
1975,NBA,Washington Bullets,WSB,TRUE
1974,ABA,Carolina Cougars,CAR,TRUE
1974,ABA,Denver Rockets,DNR,TRUE
1974,ABA,Indiana Pacers,INA,TRUE
1974,ABA,Kentucky Colonels,KEN,TRUE
1974,ABA,Memphis Tams,MMT,FALSE
1974,ABA,New York Nets,NYA,TRUE
1974,ABA,San Antonio Spurs,SAA,TRUE
1974,ABA,San Diego Conquistadors,SDA,TRUE
1974,ABA,Utah Stars,UTS,TRUE
1974,ABA,Virginia Squires,VIR,TRUE
1974,NBA,Atlanta Hawks,ATL,FALSE
1974,NBA,Boston Celtics,BOS,TRUE
1974,NBA,Buffalo Braves,BUF,TRUE
1974,NBA,Capital Bullets,CAP,TRUE
1974,NBA,Chicago Bulls,CHI,TRUE
1974,NBA,Cleveland Cavaliers,CLE,FALSE
1974,NBA,Detroit Pistons,DET,TRUE
1974,NBA,Golden State Warriors,GSW,FALSE
1974,NBA,Houston Rockets,HOU,FALSE
1974,NBA,Kansas City-Omaha Kings,KCO,FALSE
1974,NBA,Los Angeles Lakers,LAL,TRUE
1974,NBA,Milwaukee Bucks,MIL,TRUE
1974,NBA,New York Knicks,NYK,TRUE
1974,NBA,Philadelphia 76ers,PHI,FALSE
1974,NBA,Phoenix Suns,PHO,FALSE
1974,NBA,Portland Trail Blazers,POR,FALSE
1974,NBA,Seattle SuperSonics,SEA,FALSE
1973,ABA,Carolina Cougars,CAR,TRUE
1973,ABA,Dallas Chaparrals,DLC,FALSE
1973,ABA,Denver Rockets,DNR,TRUE
1973,ABA,Indiana Pacers,INA,TRUE
1973,ABA,Kentucky Colonels,KEN,TRUE
1973,ABA,Memphis Tams,MMT,FALSE
1973,ABA,New York Nets,NYA,TRUE
1973,ABA,San Diego Conquistadors,SDA,TRUE
1973,ABA,Utah Stars,UTS,TRUE
1973,ABA,Virginia Squires,VIR,TRUE
1973,NBA,Atlanta Hawks,ATL,TRUE
1973,NBA,Baltimore Bullets,BAL,TRUE
1973,NBA,Boston Celtics,BOS,TRUE
1973,NBA,Buffalo Braves,BUF,FALSE
1973,NBA,Chicago Bulls,CHI,TRUE
1973,NBA,Cleveland Cavaliers,CLE,FALSE
1973,NBA,Detroit Pistons,DET,FALSE
1973,NBA,Golden State Warriors,GSW,TRUE
1973,NBA,Houston Rockets,HOU,FALSE
1973,NBA,Kansas City-Omaha Kings,KCO,FALSE
1973,NBA,Los Angeles Lakers,LAL,TRUE
1973,NBA,Milwaukee Bucks,MIL,TRUE
1973,NBA,New York Knicks,NYK,TRUE
1973,NBA,Philadelphia 76ers,PHI,FALSE
1973,NBA,Phoenix Suns,PHO,FALSE
1973,NBA,Portland Trail Blazers,POR,FALSE
1973,NBA,Seattle SuperSonics,SEA,FALSE
1972,ABA,Carolina Cougars,CAR,FALSE
1972,ABA,Dallas Chaparrals,DLC,TRUE
1972,ABA,Denver Rockets,DNR,TRUE
1972,ABA,The Floridians,FLO,TRUE
1972,ABA,Indiana Pacers,INA,TRUE
1972,ABA,Kentucky Colonels,KEN,TRUE
1972,ABA,Memphis Pros,MMP,FALSE
1972,ABA,New York Nets,NYA,TRUE
1972,ABA,Pittsburgh Condors,PTC,FALSE
1972,ABA,Utah Stars,UTS,TRUE
1972,ABA,Virginia Squires,VIR,TRUE
1972,NBA,Atlanta Hawks,ATL,TRUE
1972,NBA,Baltimore Bullets,BAL,TRUE
1972,NBA,Boston Celtics,BOS,TRUE
1972,NBA,Buffalo Braves,BUF,FALSE
1972,NBA,Chicago Bulls,CHI,TRUE
1972,NBA,Cincinnati Royals,CIN,FALSE
1972,NBA,Cleveland Cavaliers,CLE,FALSE
1972,NBA,Detroit Pistons,DET,FALSE
1972,NBA,Golden State Warriors,GSW,TRUE
1972,NBA,Houston Rockets,HOU,FALSE
1972,NBA,Los Angeles Lakers,LAL,TRUE
1972,NBA,Milwaukee Bucks,MIL,TRUE
1972,NBA,New York Knicks,NYK,TRUE
1972,NBA,Philadelphia 76ers,PHI,FALSE
1972,NBA,Phoenix Suns,PHO,FALSE
1972,NBA,Portland Trail Blazers,POR,FALSE
1972,NBA,Seattle SuperSonics,SEA,FALSE
1971,ABA,Carolina Cougars,CAR,FALSE
1971,ABA,Denver Rockets,DNR,TRUE
1971,ABA,The Floridians,FLO,TRUE
1971,ABA,Indiana Pacers,INA,TRUE
1971,ABA,Kentucky Colonels,KEN,TRUE
1971,ABA,Memphis Pros,MMP,TRUE
1971,ABA,New York Nets,NYA,TRUE
1971,ABA,Pittsburgh Condors,PTC,FALSE
1971,ABA,Texas Chaparrals,TEX,TRUE
1971,ABA,Utah Stars,UTS,TRUE
1971,ABA,Virginia Squires,VIR,TRUE
1971,NBA,Atlanta Hawks,ATL,TRUE
1971,NBA,Baltimore Bullets,BAL,TRUE
1971,NBA,Boston Celtics,BOS,FALSE
1971,NBA,Buffalo Braves,BUF,FALSE
1971,NBA,Chicago Bulls,CHI,TRUE
1971,NBA,Cincinnati Royals,CIN,FALSE
1971,NBA,Cleveland Cavaliers,CLE,FALSE
1971,NBA,Detroit Pistons,DET,FALSE
1971,NBA,Los Angeles Lakers,LAL,TRUE
1971,NBA,Milwaukee Bucks,MIL,TRUE
1971,NBA,New York Knicks,NYK,TRUE
1971,NBA,Philadelphia 76ers,PHI,TRUE
1971,NBA,Phoenix Suns,PHO,FALSE
1971,NBA,Portland Trail Blazers,POR,FALSE
1971,NBA,San Diego Rockets,SDR,FALSE
1971,NBA,Seattle SuperSonics,SEA,FALSE
1971,NBA,San Francisco Warriors,SFW,TRUE
1970,ABA,Carolina Cougars,CAR,TRUE
1970,ABA,Dallas Chaparrals,DLC,TRUE
1970,ABA,Denver Rockets,DNR,TRUE
1970,ABA,Indiana Pacers,INA,TRUE
1970,ABA,Kentucky Colonels,KEN,TRUE
1970,ABA,Los Angeles Stars,LAS,TRUE
1970,ABA,Miami Floridians,MMF,FALSE
1970,ABA,New Orleans Buccaneers,NOB,FALSE
1970,ABA,New York Nets,NYA,TRUE
1970,ABA,Pittsburgh Pipers,PTP,FALSE
1970,ABA,Washington Capitols,WSA,TRUE
1970,NBA,Atlanta Hawks,ATL,TRUE
1970,NBA,Baltimore Bullets,BAL,TRUE
1970,NBA,Boston Celtics,BOS,FALSE
1970,NBA,Chicago Bulls,CHI,TRUE
1970,NBA,Cincinnati Royals,CIN,FALSE
1970,NBA,Detroit Pistons,DET,FALSE
1970,NBA,Los Angeles Lakers,LAL,TRUE
1970,NBA,Milwaukee Bucks,MIL,TRUE
1970,NBA,New York Knicks,NYK,TRUE
1970,NBA,Philadelphia 76ers,PHI,TRUE
1970,NBA,Phoenix Suns,PHO,TRUE
1970,NBA,San Diego Rockets,SDR,FALSE
1970,NBA,Seattle SuperSonics,SEA,FALSE
1970,NBA,San Francisco Warriors,SFW,FALSE
1969,ABA,Dallas Chaparrals,DLC,TRUE
1969,ABA,Denver Rockets,DNR,TRUE
1969,ABA,Houston Mavericks,HSM,FALSE
1969,ABA,Indiana Pacers,INA,TRUE
1969,ABA,Kentucky Colonels,KEN,TRUE
1969,ABA,Los Angeles Stars,LAS,FALSE
1969,ABA,Miami Floridians,MMF,TRUE
1969,ABA,Minnesota Pipers,MNP,TRUE
1969,ABA,New Orleans Buccaneers,NOB,TRUE
1969,ABA,New York Nets,NYA,FALSE
1969,ABA,Oakland Oaks,OAK,TRUE
1969,NBA,Atlanta Hawks,ATL,TRUE
1969,NBA,Baltimore Bullets,BAL,TRUE
1969,NBA,Boston Celtics,BOS,TRUE
1969,NBA,Chicago Bulls,CHI,FALSE
1969,NBA,Cincinnati Royals,CIN,FALSE
1969,NBA,Detroit Pistons,DET,FALSE
1969,NBA,Los Angeles Lakers,LAL,TRUE
1969,NBA,Milwaukee Bucks,MIL,FALSE
1969,NBA,New York Knicks,NYK,TRUE
1969,NBA,Philadelphia 76ers,PHI,TRUE
1969,NBA,Phoenix Suns,PHO,FALSE
1969,NBA,San Diego Rockets,SDR,TRUE
1969,NBA,Seattle SuperSonics,SEA,FALSE
1969,NBA,San Francisco Warriors,SFW,TRUE
1968,ABA,Anaheim Amigos,ANA,FALSE
1968,ABA,Dallas Chaparrals,DLC,TRUE
1968,ABA,Denver Rockets,DNR,TRUE
1968,ABA,Houston Mavericks,HSM,TRUE
1968,ABA,Indiana Pacers,INA,TRUE
1968,ABA,Kentucky Colonels,KEN,TRUE
1968,ABA,Minnesota Muskies,MNM,TRUE
1968,ABA,New Jersey Americans,NJA,FALSE
1968,ABA,New Orleans Buccaneers,NOB,TRUE
1968,ABA,Oakland Oaks,OAK,FALSE
1968,ABA,Pittsburgh Pipers,PTP,TRUE
1968,NBA,Baltimore Bullets,BAL,FALSE
1968,NBA,Boston Celtics,BOS,TRUE
1968,NBA,Chicago Bulls,CHI,TRUE
1968,NBA,Cincinnati Royals,CIN,FALSE
1968,NBA,Detroit Pistons,DET,TRUE
1968,NBA,Los Angeles Lakers,LAL,TRUE
1968,NBA,New York Knicks,NYK,TRUE
1968,NBA,Philadelphia 76ers,PHI,TRUE
1968,NBA,San Diego Rockets,SDR,FALSE
1968,NBA,Seattle SuperSonics,SEA,FALSE
1968,NBA,San Francisco Warriors,SFW,TRUE
1968,NBA,St. Louis Hawks,STL,TRUE
1967,NBA,Baltimore Bullets,BAL,FALSE
1967,NBA,Boston Celtics,BOS,TRUE
1967,NBA,Chicago Bulls,CHI,TRUE
1967,NBA,Cincinnati Royals,CIN,TRUE
1967,NBA,Detroit Pistons,DET,FALSE
1967,NBA,Los Angeles Lakers,LAL,TRUE
1967,NBA,New York Knicks,NYK,TRUE
1967,NBA,Philadelphia 76ers,PHI,TRUE
1967,NBA,San Francisco Warriors,SFW,TRUE
1967,NBA,St. Louis Hawks,STL,TRUE
1966,NBA,Baltimore Bullets,BAL,TRUE
1966,NBA,Boston Celtics,BOS,TRUE
1966,NBA,Cincinnati Royals,CIN,TRUE
1966,NBA,Detroit Pistons,DET,FALSE
1966,NBA,Los Angeles Lakers,LAL,TRUE
1966,NBA,New York Knicks,NYK,FALSE
1966,NBA,Philadelphia 76ers,PHI,TRUE
1966,NBA,San Francisco Warriors,SFW,FALSE
1966,NBA,St. Louis Hawks,STL,TRUE
1965,NBA,Baltimore Bullets,BAL,TRUE
1965,NBA,Boston Celtics,BOS,TRUE
1965,NBA,Cincinnati Royals,CIN,TRUE
1965,NBA,Detroit Pistons,DET,FALSE
1965,NBA,Los Angeles Lakers,LAL,TRUE
1965,NBA,New York Knicks,NYK,FALSE
1965,NBA,Philadelphia 76ers,PHI,TRUE
1965,NBA,San Francisco Warriors,SFW,FALSE
1965,NBA,St. Louis Hawks,STL,TRUE
1964,NBA,Baltimore Bullets,BAL,FALSE
1964,NBA,Boston Celtics,BOS,TRUE
1964,NBA,Cincinnati Royals,CIN,TRUE
1964,NBA,Detroit Pistons,DET,FALSE
1964,NBA,Los Angeles Lakers,LAL,TRUE
1964,NBA,New York Knicks,NYK,FALSE
1964,NBA,Philadelphia 76ers,PHI,TRUE
1964,NBA,San Francisco Warriors,SFW,TRUE
1964,NBA,St. Louis Hawks,STL,TRUE
1963,NBA,Boston Celtics,BOS,TRUE
1963,NBA,Chicago Zephyrs,CHZ,FALSE
1963,NBA,Cincinnati Royals,CIN,TRUE
1963,NBA,Detroit Pistons,DET,TRUE
1963,NBA,Los Angeles Lakers,LAL,TRUE
1963,NBA,New York Knicks,NYK,FALSE
1963,NBA,San Francisco Warriors,SFW,FALSE
1963,NBA,St. Louis Hawks,STL,TRUE
1963,NBA,Syracuse Nationals,SYR,TRUE
1962,NBA,Boston Celtics,BOS,TRUE
1962,NBA,Chicago Packers,CHP,FALSE
1962,NBA,Cincinnati Royals,CIN,TRUE
1962,NBA,Detroit Pistons,DET,TRUE
1962,NBA,Los Angeles Lakers,LAL,TRUE
1962,NBA,New York Knicks,NYK,FALSE
1962,NBA,Philadelphia Warriors,PHW,TRUE
1962,NBA,St. Louis Hawks,STL,FALSE
1962,NBA,Syracuse Nationals,SYR,TRUE
1961,NBA,Boston Celtics,BOS,TRUE
1961,NBA,Cincinnati Royals,CIN,FALSE
1961,NBA,Detroit Pistons,DET,TRUE
1961,NBA,Los Angeles Lakers,LAL,TRUE
1961,NBA,New York Knicks,NYK,FALSE
