player,player_id,pos,ht_in_in,wt,birth_date,colleges,from,to,debut,hof
Yvon Joseph,josepyv01,C,83,245,1957-10-31,Georgia Tech,1986,1986,1985-10-26T00:00:00Z,FALSE
Bill Martin,martibi01,F,79,205,1962-08-16,Georgetown,1986,1988,1985-10-26T00:00:00Z,FALSE
Dwayne McClain,mccladw01,G,78,185,1963-02-07,Villanova,1986,1986,1985-10-26T00:00:00Z,FALSE
Xavier McDaniel,mcdanxa01,F,79,205,1963-06-04,Wichita State,1986,1998,1985-10-26T00:00:00Z,FALSE
Michael Phelps,phelpmi01,G,76,180,1961-10-03,Alcorn State,1986,1988,1985-10-26T00:00:00Z,FALSE
Jerry Reynolds,reynoje01,G-F,80,200,1962-12-23,LSU,1986,1996,1985-10-26T00:00:00Z,FALSE
Detlef Schrempf,schrede01,F-C,82,235,1963-01-21,Washington,1986,2001,1985-10-26T00:00:00Z,FALSE
Wayman Tisdale,tisdawa01,F-C,81,240,1964-06-09,Oklahoma,1986,1997,1985-10-26T00:00:00Z,FALSE
Sam Vincent,vincesa01,G,74,185,1963-05-18,Michigan State,1986,1992,1985-10-26T00:00:00Z,FALSE
Gerald Wilkins,wilkige01,G-F,78,185,1963-09-11,Chattanooga,1986,1999,1985-10-26T00:00:00Z,FALSE
Ken Johnson,johnske01,F,80,240,1962-11-07,"USC, Michigan State",1986,1986,1985-10-27T00:00:00Z,FALSE
Mike Brittain,brittmi01,C,84,235,1963-06-21,South Carolina,1986,1987,1985-10-29T00:00:00Z,FALSE
Kenny Green,greenke02,F,78,210,1964-10-11,Wake Forest,1986,1987,1985-10-29T00:00:00Z,FALSE
Brian Martin,martibr01,F,81,212,1962-08-18,Kansas,1986,1986,1985-10-29T00:00:00Z,FALSE
Alex Stivrins,stivral01,F,80,220,1962-11-29,"Creighton, Colorado",1986,1993,1985-10-29T00:00:00Z,FALSE
Bob Thornton,thornbo01,F-C,82,225,1962-07-10,"University of California, Irvine",1986,1996,1985-10-29T00:00:00Z,FALSE
Bill Wennington,wennibi01,C,84,245,1963-04-26,St. John's,1986,2000,1985-10-29T00:00:00Z,FALSE
Pete Williams,willipe01,F,79,190,1965-03-10,Arizona,1986,1987,1985-10-29T00:00:00Z,FALSE
Mike Smrek,smrekmi01,C,84,250,1962-08-31,Canisius,1986,1992,1985-11-02T00:00:00Z,FALSE
Fred Cofield,cofiefr01,G,75,190,1962-01-04,"Oregon, Eastern Michigan",1986,1987,1985-11-03T00:00:00Z,FALSE
Georgi Glouchkov,gloucge01,F,80,235,1960-01-10,NA,1986,1986,1985-11-06T00:00:00Z,FALSE
Chris Mullin,mullich01,F-G,79,215,1963-07-30,St. John's,1986,2001,1985-11-06T00:00:00Z,TRUE
Tyrone Corbin,corbity01,G-F,78,210,1962-12-31,DePaul,1986,2001,1985-11-14T00:00:00Z,FALSE
Greg Stokes,stokegr01,F-C,82,220,1963-08-05,Iowa,1986,1990,1985-11-16T00:00:00Z,FALSE
Voise Winters,wintevo01,F,80,200,1962-10-12,Bradley,1986,1986,1985-11-16T00:00:00Z,FALSE
Keith Lee,leeke01,F-C,82,215,1962-12-28,Memphis,1986,1989,1985-12-14T00:00:00Z,FALSE
Harold Keeling,keeliha01,G,76,185,1963-09-18,Santa Clara,1986,1986,1986-01-04T00:00:00Z,FALSE
Jeff Cross,crossje01,F,82,240,1961-09-01,University of Maine,1986,1986,1986-02-01T00:00:00Z,FALSE
Claude Gregory,gregocl01,F,80,205,1958-12-26,Wisconsin,1986,1988,1986-02-01T00:00:00Z,FALSE
Chris McNealy,mcneach01,F,79,210,1961-07-15,San Jose State,1986,1988,1986-02-13T00:00:00Z,FALSE
Ben McDonald,mcdonbe01,F,80,210,1962-07-20,"University of California, Irvine",1986,1989,1986-03-04T00:00:00Z,FALSE
Jerome Henderson,hendeje01,C-F,83,230,1959-10-05,New Mexico,1986,1987,1986-03-11T00:00:00Z,FALSE
Derrick Rowland,rowlade01,G,77,195,1959-06-21,State University of New York at Potsdam,1986,1986,1986-03-22T00:00:00Z,FALSE
Nick Vanos,vanosni01,C,85,255,1963-04-13,Santa Clara,1986,1987,1986-03-26T00:00:00Z,FALSE
Ken Green,greenke01,F,80,215,1959-09-19,University of Texas Rio Grande Valley,1986,1986,1986-03-29T00:00:00Z,FALSE
Mark Alarie,alarima01,F,80,217,1963-12-11,Duke,1987,1991,1986-10-31T00:00:00Z,FALSE
Walter Berry,berrywa01,F,80,215,1964-05-14,St. John's,1987,1989,1986-10-31T00:00:00Z,FALSE
Ben Coleman,colembe01,F,81,235,1961-11-14,"Minnesota, Maryland",1987,1994,1986-10-31T00:00:00Z,FALSE
Dell Curry,curryde01,G,76,190,1964-06-25,Virginia Tech,1987,2002,1986-10-31T00:00:00Z,FALSE
Johnny Dawkins,dawkijo01,G,74,165,1963-09-28,Duke,1987,1995,1986-10-31T00:00:00Z,FALSE
Kevin Duckworth,duckwke01,C,84,275,1964-04-01,Eastern Illinois University,1987,1997,1986-10-31T00:00:00Z,FALSE
Kenny Gattison,gattike01,F-C,80,225,1964-05-23,Old Dominion,1987,1996,1986-10-31T00:00:00Z,FALSE
Grant Gondrezick,gondrgr01,G,77,205,1963-01-19,Pepperdine,1987,1989,1986-10-31T00:00:00Z,FALSE
Jeff Hornacek,hornaje01,G,76,190,1963-05-03,Iowa State,1987,2000,1986-10-31T00:00:00Z,FALSE
Myron Jackson,jacksmy01,G,75,185,1964-05-06,Little Rock,1987,1987,1986-10-31T00:00:00Z,FALSE
Anthony Jones,jonesan01,G-F,78,195,1962-09-13,"Georgetown, UNLV",1987,1990,1986-10-31T00:00:00Z,FALSE
Larry Krystkowiak,krystla01,F-C,81,220,1964-09-23,Montana,1987,1997,1986-10-31T00:00:00Z,FALSE
Fernando Martín,martife01,C,81,220,1962-03-25,NA,1987,1987,1986-10-31T00:00:00Z,FALSE
Maurice Martin,martima01,F-G,78,200,1964-07-02,Saint Joseph's,1987,1988,1986-10-31T00:00:00Z,FALSE
Chuck Person,persoch01,F,80,220,1964-06-27,Auburn,1987,2000,1986-10-31T00:00:00Z,FALSE
Dennis Rodman,rodmade01,F,79,210,1961-05-13,"North Central Texas College, Southeastern Oklahoma State University",1987,2000,1986-10-31T00:00:00Z,TRUE
John Salley,sallejo01,F-C,83,230,1964-05-16,Georgia Tech,1987,2000,1986-10-31T00:00:00Z,FALSE
McKinley Singleton,singlmc01,G,77,175,1961-10-29,UAB,1987,1987,1986-10-31T00:00:00Z,FALSE
Clinton Smith,smithcl01,F,78,210,1964-01-19,"Ohio State, Cleveland State University",1987,1991,1986-10-31T00:00:00Z,FALSE
Keith Smith,smithke03,G,75,180,1964-03-09,Loyola Marymount,1987,1987,1986-10-31T00:00:00Z,FALSE
Roy Tarpley,tarplro01,C-F,83,230,1964-11-28,Michigan,1987,1995,1986-10-31T00:00:00Z,FALSE
Kenny Walker,walkeke01,F,80,210,1964-08-18,Kentucky,1987,1995,1986-10-31T00:00:00Z,FALSE
Chris Washburn,washbch01,C,83,225,1965-05-13,NC State,1987,1988,1986-10-31T00:00:00Z,FALSE
Pearl Washington,washipe01,G,74,190,1964-01-06,Syracuse,1987,1989,1986-10-31T00:00:00Z,FALSE
John Williams,willijo02,F-C,80,235,1966-10-26,LSU,1987,1995,1986-10-31T00:00:00Z,FALSE
Rafael Addison,addisra01,F-G,79,215,1964-07-22,Syracuse,1987,1997,1986-11-01T00:00:00Z,FALSE
Mike Brown,brownmi01,C-F,81,257,1963-07-19,George Washington,1987,1997,1986-11-01T00:00:00Z,FALSE
Brad Daugherty,daughbr01,C,84,245,1965-10-19,UNC,1987,1994,1986-11-01T00:00:00Z,FALSE
Bruce Douglas,douglbr01,G,75,195,1964-04-09,Illinois,1987,1987,1986-11-01T00:00:00Z,FALSE
Dave Feitl,feitlda01,C,83,235,1962-06-08,Texas-El Paso,1987,1992,1986-11-01T00:00:00Z,FALSE
Ron Harper,harpero01,G-F,78,185,1964-01-20,Miami University,1987,2001,1986-11-01T00:00:00Z,FALSE
Cedric Henderson,hendece01,F,80,210,1965-10-03,Georgia,1987,1987,1986-11-01T00:00:00Z,FALSE
Conner Henry,henryco01,G,79,195,1963-07-21,UC Santa Barbara,1987,1988,1986-11-01T00:00:00Z,FALSE
Buck Johnson,johnsbu01,F,79,190,1964-01-03,Alabama,1987,1993,1986-11-01T00:00:00Z,FALSE
Tim Kempton,kemptti01,F-C,82,245,1964-01-25,Notre Dame,1987,1998,1986-11-01T00:00:00Z,FALSE
Johnny Rogers,rogerjo01,F-C,82,225,1963-12-30,"Stanford, University of California, Irvine",1987,1988,1986-11-01T00:00:00Z,FALSE
Brad Sellers,sellebr01,C-F,84,210,1962-12-17,"Wisconsin, Ohio State",1987,1993,1986-11-01T00:00:00Z,FALSE
Hot Rod Williams,williho01,F-C,83,215,1962-08-09,Tulane,1987,1999,1986-11-01T00:00:00Z,FALSE
Johnny Newman,newmajo01,F-G,79,190,1963-11-28,Richmond,1987,2002,1986-11-02T00:00:00Z,FALSE
David Wingate,wingada01,G-F,77,185,1963-12-15,Georgetown,1987,2001,1986-11-02T00:00:00Z,FALSE
Adrian Branch,brancad01,F-G,79,185,1963-11-17,Maryland,1987,1990,1986-11-04T00:00:00Z,FALSE
Steffond Johnson,johnsst02,F,80,240,1962-11-04,"LSU, San Diego State",1987,1987,1986-11-04T00:00:00Z,FALSE
Dwayne Polee,poleedw01,G,77,180,1963-03-02,"UNLV, Pepperdine",1987,1987,1986-11-04T00:00:00Z,FALSE
Harold Pressley,pressha01,F-G,79,210,1963-07-14,Villanova,1987,1990,1986-11-04T00:00:00Z,FALSE
Greg Dreiling,dreilgr01,C,85,250,1962-11-07,"Wichita State, Kansas",1987,1997,1986-11-05T00:00:00Z,FALSE
Mark Price,pricema01,G,72,170,1964-02-15,Georgia Tech,1987,1998,1986-11-05T00:00:00Z,FALSE
Billy Thompson,thompbi01,F,79,195,1963-12-01,Louisville,1987,1992,1986-11-07T00:00:00Z,FALSE
Scott Skiles,skilesc01,G,73,180,1964-03-05,Michigan State,1987,1996,1986-11-11T00:00:00Z,FALSE
Nate McMillan,mcmilna01,G-F,77,195,1964-08-03,NC State,1987,1998,1986-11-12T00:00:00Z,FALSE
Andre Turner,turnean01,G,71,160,1964-12-13,Memphis,1987,1992,1986-11-12T00:00:00Z,FALSE
Forrest McKenzie,mckenfo01,F,79,200,1963-02-16,Loyola Marymount,1987,1987,1986-11-25T00:00:00Z,FALSE
William Bedford,bedfowi01,C,84,225,1963-12-14,Memphis,1987,1993,1986-11-28T00:00:00Z,FALSE
Otis Smith,smithot01,G-F,77,210,1964-01-30,Jacksonville University,1987,1992,1986-11-28T00:00:00Z,FALSE
Pete Myers,myerspe01,G-F,78,180,1963-09-15,Little Rock,1987,1998,1986-12-02T00:00:00Z,FALSE
Curtis Kitchen,kitchcu01,F,81,235,1964-01-30,South Florida,1987,1987,1986-12-06T00:00:00Z,FALSE
Jim Lampley,lamplji01,C,82,230,1960-07-02,"Vanderbilt, Little Rock",1987,1987,1986-12-12T00:00:00Z,FALSE
Dennis Nutt,nuttde01,G,74,170,1963-03-25,TCU,1987,1987,1987-01-03T00:00:00Z,FALSE
Cozell McQueen,mcqueco01,F,83,235,1962-01-18,NC State,1987,1987,1987-01-10T00:00:00Z,FALSE
Perry Young,youngpe01,G,77,210,1963-08-04,Virginia Tech,1987,1987,1987-01-30T00:00:00Z,FALSE
Kevin Henderson,hendeke01,G,76,195,1964-03-22,Cal State Fullerton,1987,1988,1987-02-12T00:00:00Z,FALSE
Joe Binion,biniojo01,F,80,235,1961-03-26,North Carolina A&T,1987,1987,1987-02-16T00:00:00Z,FALSE
Ron Rowan,rowanro01,G,77,200,1962-04-23,"Notre Dame, St. John's",1987,1987,1987-03-17T00:00:00Z,FALSE
Brad Wright,wrighbr01,F,83,225,1962-03-26,UCLA,1987,1988,1987-03-21T00:00:00Z,FALSE
Mark Acres,acresma01,F-C,83,220,1962-11-15,Oral Roberts,1988,1993,1987-11-06T00:00:00Z,FALSE
Steve Alford,alforst01,G,74,183,1964-11-23,Indiana,1988,1991,1987-11-06T00:00:00Z,FALSE
Greg Anderson,andergr01,F-C,82,230,1964-06-22,Houston,1988,1998,1987-11-06T00:00:00Z,FALSE
Joe Arlauckas,arlaujo01,F,81,230,1965-07-20,Niagara University,1988,1988,1987-11-06T00:00:00Z,FALSE
Vincent Askew,askewvi01,G-F,78,210,1966-02-28,Memphis,1988,1998,1987-11-06T00:00:00Z,FALSE
Nate Blackwell,blackna01,G,76,170,1965-02-15,Temple,1988,1988,1987-11-06T00:00:00Z,FALSE
Muggsy Bogues,boguemu01,G,63,136,1965-01-09,Wake Forest,1988,2001,1987-11-06T00:00:00Z,FALSE
Norris Coleman,colemno01,F,80,210,1961-09-27,Kansas State,1988,1988,1987-11-06T00:00:00Z,FALSE
Dallas Comegys,comegda01,F,81,205,1964-08-17,DePaul,1988,1989,1987-11-06T00:00:00Z,FALSE
Chris Dudley,dudlech02,C,83,235,1965-02-22,Yale,1988,2003,1987-11-06T00:00:00Z,FALSE
Tellis Frank,frankte01,F-C,82,225,1965-04-26,Western Kentucky,1988,1994,1987-11-06T00:00:00Z,FALSE
Kevin Gamble,gamblke01,F-G,77,210,1965-11-13,Iowa,1988,1997,1987-11-06T00:00:00Z,FALSE
Armen Gilliam,gilliar01,F-C,81,230,1964-05-28,UNLV,1988,2000,1987-11-06T00:00:00Z,FALSE
Dennis Hopson,hopsode01,G-F,77,200,1965-04-22,Ohio State,1988,1992,1987-11-06T00:00:00Z,FALSE
Mark Jackson,jacksma01,G,73,180,1965-04-01,St. John's,1988,2004,1987-11-06T00:00:00Z,FALSE
Michael Jackson,jacksmi02,G,74,183,1964-07-13,Georgetown,1988,1990,1987-11-06T00:00:00Z,FALSE
Kevin Johnson,johnske02,G,73,180,1966-03-04,California,1988,2000,1987-11-06T00:00:00Z,FALSE
Ralph Lewis,lewisra01,F-G,78,200,1963-03-28,La Salle,1988,1990,1987-11-06T00:00:00Z,FALSE
Reggie Lewis,lewisre01,G-F,79,195,1965-11-21,Northeastern University,1988,1993,1987-11-06T00:00:00Z,FALSE
Brad Lohaus,lohaubr01,F-C,83,230,1964-09-29,Iowa,1988,1998,1987-11-06T00:00:00Z,FALSE
Derrick McKey,mckeyde01,F-C,81,205,1966-10-10,Alabama,1988,2002,1987-11-06T00:00:00Z,FALSE
Reggie Miller,millere01,G-F,79,185,1965-08-24,UCLA,1988,2005,1987-11-06T00:00:00Z,TRUE
Andre Moore,moorean01,F,81,215,1964-07-02,Loyola Chicago,1988,1988,1987-11-06T00:00:00Z,FALSE
Tod Murphy,murphto01,C-F,81,220,1963-12-24,"University of California, Irvine",1988,1994,1987-11-06T00:00:00Z,FALSE
Martin Nessley,nesslma01,C,86,260,1965-02-16,Duke,1988,1988,1987-11-06T00:00:00Z,FALSE
Ken Norman,normake01,F,80,215,1964-09-05,Illinois,1988,1997,1987-11-06T00:00:00Z,FALSE
Olden Polynice,polynol01,C-F,83,220,1964-11-21,Virginia,1988,2004,1987-11-06T00:00:00Z,FALSE
Kenny Smith,smithke01,G,75,170,1965-03-08,UNC,1988,1997,1987-11-06T00:00:00Z,FALSE
John Stroeder,stroejo01,F,82,260,1958-07-24,Montana,1988,1989,1987-11-06T00:00:00Z,FALSE
Jamie Waller,walleja01,G,76,215,1964-11-20,Virginia Union University,1988,1988,1987-11-06T00:00:00Z,FALSE
Chris Welp,welpch01,C,84,245,1964-01-02,Washington,1988,1990,1987-11-06T00:00:00Z,FALSE
Reggie Williams,willire01,F-G,79,190,1964-03-05,Georgetown,1988,1997,1987-11-06T00:00:00Z,FALSE
Nikita Wilson,wilsoni01,F,80,200,1964-02-25,LSU,1988,1988,1987-11-06T00:00:00Z,FALSE
Joe Wolf,wolfjo01,F-C,83,230,1964-12-17,UNC,1988,1999,1987-11-06T00:00:00Z,FALSE
Jim Farmer,farmeji01,G,76,190,1964-09-23,Alabama,1988,1994,1987-11-07T00:00:00Z,FALSE
Horace Grant,grantho01,F-C,82,215,1965-07-04,Clemson,1988,2004,1987-11-07T00:00:00Z,FALSE
Kannard Johnson,johnska01,F,81,220,1965-06-24,Western Kentucky,1988,1988,1987-11-07T00:00:00Z,FALSE
Ron Moore,moorero01,C,84,260,1962-01-16,"Salem University, West Virginia State University",1988,1988,1987-11-07T00:00:00Z,FALSE
Scottie Pippen,pippesc01,F-G,80,210,1965-09-25,University of Central Arkansas,1988,2004,1987-11-07T00:00:00Z,TRUE
Clinton Wheeler,wheelcl01,G,73,185,1959-10-27,William Paterson University,1988,1989,1987-11-07T00:00:00Z,FALSE
Tony White,whiteto01,G,74,170,1965-02-15,Tennessee,1988,1988,1987-11-07T00:00:00Z,FALSE
Milt Wagner,wagnemi01,G,77,185,1963-02-20,Louisville,1988,1991,1987-11-08T00:00:00Z,FALSE
Winston Crite,critewi01,F,79,233,1965-06-20,Texas A&M,1988,1989,1987-11-14T00:00:00Z,FALSE
Brian Rowsom,rowsobr01,F,81,220,1965-10-23,UNC Wilmington,1988,1990,1987-11-17T00:00:00Z,FALSE
Rickie Winslow,winslri01,F,80,225,1964-07-26,Houston,1988,1988,1987-11-17T00:00:00Z,FALSE
Winston Garland,garlawi01,G,74,170,1964-12-19,Missouri State,1988,1995,1987-12-01T00:00:00Z,FALSE
Billy Donovan,donovbi01,G,71,171,1965-05-30,Providence,1988,1988,1987-12-12T00:00:00Z,FALSE
Ronnie Murphy,murphro01,F,77,225,1964-07-29,Jacksonville University,1988,1988,1987-12-20T00:00:00Z,FALSE
Bart Kofoed,kofoeba01,G,76,210,1964-03-24,"Hastings College, University of Nebraska at Kearney",1988,1993,1988-01-02T00:00:00Z,FALSE
Dave Hoppen,hoppeda01,C-F,83,235,1964-03-13,Nebraska,1988,1993,1988-01-14T00:00:00Z,FALSE
Scott Roth,rothsc01,F,80,212,1963-06-03,Wisconsin,1988,1990,1988-03-01T00:00:00Z,FALSE
Ricky Wilson,wilsori02,G,75,195,1964-07-16,George Mason,1988,1988,1988-03-01T00:00:00Z,FALSE
Dave Henderson,hendeda01,G,77,195,1964-07-21,Duke,1988,1988,1988-03-06T00:00:00Z,FALSE
Duane Washington,washidu01,G,76,195,1964-08-31,Middle Tennessee,1988,1993,1988-03-22T00:00:00Z,FALSE
Phil Zevenbergen,zevenph01,C,82,230,1964-04-13,"Seattle Pacific University, Washington",1988,1988,1988-03-22T00:00:00Z,FALSE
Eddie Hughes,hugheed01,G,70,165,1960-05-26,Colorado State,1988,1990,1988-03-24T00:00:00Z,FALSE
Eric White,whiteer01,F,80,200,1965-12-30,Pepperdine,1988,1989,1988-03-25T00:00:00Z,FALSE
Mark Wade,wadema01,G,71,160,1965-10-15,"Oklahoma, UNLV",1988,1990,1988-03-30T00:00:00Z,FALSE
Richard Rellford,rellfri01,F,78,230,1964-02-16,Michigan,1988,1988,1988-04-12T00:00:00Z,FALSE
Scott Brooks,brooksc01,G,71,165,1965-07-31,"TCU, University of California, Irvine",1989,1998,1988-11-04T00:00:00Z,FALSE
Mark Bryant,bryanma01,F-C,81,245,1965-04-25,Seton Hall,1989,2003,1988-11-04T00:00:00Z,FALSE
Rex Chapman,chapmre01,G,76,185,1967-10-05,Kentucky,1989,2000,1988-11-04T00:00:00Z,FALSE
Derrick Chievous,chievde01,F,79,195,1967-07-03,Missouri,1989,1991,1988-11-04T00:00:00Z,FALSE
Mark Davis,davisma01,F-G,78,195,1963-06-08,Old Dominion,1989,1989,1988-11-04T00:00:00Z,FALSE
Wayne Engelstad,englewa01,F,80,245,1965-12-06,"University of California, Irvine",1989,1989,1988-11-04T00:00:00Z,FALSE
Rolando Ferreira,ferrero01,C,85,240,1964-05-24,Houston,1989,1989,1988-11-04T00:00:00Z,FALSE
Anthony Frederick,fredean01,F,79,205,1964-12-07,Pepperdine,1989,1992,1988-11-04T00:00:00Z,FALSE
Tom Garrick,garrito01,G,74,185,1966-07-07,Rhode Island,1989,1992,1988-11-04T00:00:00Z,FALSE
Ron Grandison,grandro01,F,78,215,1964-07-09,"University of California, Irvine, New Orleans",1989,1996,1988-11-04T00:00:00Z,FALSE
Gary Grant,grantga01,G,75,185,1965-04-21,Michigan,1989,2001,1988-11-04T00:00:00Z,FALSE
Hersey Hawkins,hawkihe01,G,75,190,1966-09-29,Bradley,1989,2001,1988-11-04T00:00:00Z,FALSE
Randolph Keys,keysra01,F-G,79,195,1966-04-19,Southern Miss,1989,1996,1988-11-04T00:00:00Z,FALSE
Jerome Lane,laneje01,F,78,230,1966-12-04,Pitt,1989,1993,1988-11-04T00:00:00Z,FALSE
Andrew Lang,langan01,C,83,245,1966-06-28,Arkansas,1989,2000,1988-11-04T00:00:00Z,FALSE
Eric Leckner,leckner01,C-F,83,265,1966-05-27,Wyoming,1989,1997,1988-11-04T00:00:00Z,FALSE
Jim Les,lesji01,G,71,165,1963-08-18,"Cleveland State University, Bradley",1989,1995,1988-11-04T00:00:00Z,FALSE
Dan Majerle,majerda01,G-F,78,215,1965-09-09,Central Michigan University,1989,2002,1988-11-04T00:00:00Z,FALSE
Chris Morris,morrich01,F,80,210,1966-01-20,Auburn,1989,1999,1988-11-04T00:00:00Z,FALSE
Richard Morton,mortori01,G,75,190,1966-02-02,Cal State Fullerton,1989,1989,1988-11-04T00:00:00Z,FALSE
Craig Neal,nealcr01,G,77,165,1964-02-16,Georgia Tech,1989,1991,1988-11-04T00:00:00Z,FALSE
Tim Perry,perryti01,F-C,81,200,1965-06-04,Temple,1989,1996,1988-11-04T00:00:00Z,FALSE
Dave Popson,popsoda01,F-C,82,220,1964-05-17,UNC,1989,1992,1988-11-04T00:00:00Z,FALSE
Charles Shackleford,shackch01,F-C,82,225,1966-04-22,NC State,1989,1999,1988-11-04T00:00:00Z,FALSE
Brian Shaw,shawbr01,G,78,190,1966-03-22,"Saint Mary's, UC Santa Barbara",1989,2003,1988-11-04T00:00:00Z,FALSE
Charles Smith,smithch01,F-C,82,230,1965-07-16,Pitt,1989,1997,1988-11-04T00:00:00Z,FALSE
Rik Smits,smitsri01,C,88,250,1966-08-23,Marist College,1989,2000,1988-11-04T00:00:00Z,FALSE
Everette Stephens,stephev01,G,74,175,1966-10-21,Purdue,1989,1991,1988-11-04T00:00:00Z,FALSE
Rod Strickland,stricro02,G,75,175,1966-07-11,DePaul,1989,2005,1988-11-04T00:00:00Z,FALSE
Tom Tolbert,tolbeto01,F-C,79,235,1965-10-16,"University of California, Irvine, Arizona",1989,1995,1988-11-04T00:00:00Z,FALSE
Micheal Williams,willimi02,G,74,175,1966-07-23,Baylor,1989,1999,1988-11-04T00:00:00Z,FALSE
Willie Anderson,anderwi01,G-F,79,190,1967-01-08,Georgia,1989,1997,1988-11-05T00:00:00Z,FALSE
Ricky Berry,berryri01,F,80,205,1964-10-06,"Oregon State, San Jose State",1989,1989,1988-11-05T00:00:00Z,FALSE
Greg Butler,butlegr01,C,83,240,1966-03-11,Stanford,1989,1991,1988-11-05T00:00:00Z,FALSE
Vinny Del Negro,delnevi01,G,76,185,1966-08-09,NC State,1989,2002,1988-11-05T00:00:00Z,FALSE
Ledell Eackles,eacklle01,G-F,77,220,1966-11-24,New Orleans,1989,1998,1988-11-05T00:00:00Z,FALSE
Kevin Edwards,edwarke01,G,75,190,1965-10-30,DePaul,1989,2001,1988-11-05T00:00:00Z,FALSE
Ben Gillery,gillebe01,C,84,235,1965-09-19,Georgetown,1989,1989,1988-11-05T00:00:00Z,FALSE
Harvey Grant,grantha01,F,80,195,1965-07-04,"Clemson, Oklahoma",1989,1999,1988-11-05T00:00:00Z,FALSE
Sylvester Gray,graysy01,F,78,230,1967-07-08,Memphis,1989,1989,1988-11-05T00:00:00Z,FALSE
Avery Johnson,johnsav01,G,70,175,1965-03-25,"Cameron University, Southern University and A&M College",1989,2004,1988-11-05T00:00:00Z,FALSE
Grant Long,longgr01,F,80,225,1966-03-12,Eastern Michigan,1989,2003,1988-11-05T00:00:00Z,FALSE
Vernon Maxwell,maxweve01,G,76,180,1965-09-12,Florida,1989,2001,1988-11-05T00:00:00Z,FALSE
Dominic Pressley,pressdo01,G,74,170,1964-05-30,Boston College,1989,1989,1988-11-05T00:00:00Z,FALSE
Mitch Richmond,richmmi01,G,77,215,1965-06-30,"Moberly Area Community College, Kansas State",1989,2002,1988-11-05T00:00:00Z,TRUE
Ramón Rivas,rivasra01,F-C,82,260,1966-06-03,Temple,1989,1989,1988-11-05T00:00:00Z,FALSE
Rony Seikaly,seikaro01,C,83,230,1965-05-10,Syracuse,1989,1999,1988-11-05T00:00:00Z,FALSE
John Shasky,shaskjo01,C,83,235,1964-07-31,Minnesota,1989,1991,1988-11-05T00:00:00Z,FALSE
Keith Smart,smartke01,G,73,175,1964-09-21,Indiana,1989,1989,1988-11-05T00:00:00Z,FALSE
Anthony Taylor,tayloan01,G,76,175,1965-11-30,Oregon,1989,1989,1988-11-05T00:00:00Z,FALSE
Shelton Jones,jonessh01,F,81,210,1966-04-06,St. John's,1989,1989,1988-11-08T00:00:00Z,FALSE
John Starks,starkjo01,G,77,180,1965-08-10,"Northern Oklahoma College, Oklahoma Junior College, Oklahoma State",1989,2002,1988-11-08T00:00:00Z,FALSE
Morlon Wiley,wileymo01,G,76,185,1966-09-24,Cal State Long Beach,1989,1995,1988-11-08T00:00:00Z,FALSE
Jack Haley,haleyja01,C-F,82,240,1964-01-27,UCLA,1989,1998,1988-11-09T00:00:00Z,FALSE
Tito Horford,horfoti01,C,85,245,1966-01-19,Miami (FL),1989,1994,1988-11-09T00:00:00Z,FALSE
José Ortiz,ortizjo01,F,82,225,1963-10-25,Oregon State,1989,1990,1988-11-09T00:00:00Z,FALSE
Will Perdue,perduwi01,C,84,240,1965-08-29,Vanderbilt,1989,2001,1988-11-09T00:00:00Z,FALSE
David Rivers,riverda01,G,72,170,1965-01-20,Notre Dame,1989,1992,1988-11-09T00:00:00Z,FALSE
Duane Ferrell,ferredu01,F-G,79,209,1965-02-28,Georgia Tech,1989,1999,1988-11-11T00:00:00Z,FALSE
David Wood,woodda01,F,81,227,1964-11-30,Nevada,1989,1997,1988-11-11T00:00:00Z,FALSE
Danny Manning,mannida01,F-C,82,230,1966-05-17,Kansas,1989,2003,1988-11-12T00:00:00Z,FALSE
Fennis Dembo,dembofe01,F,77,215,1966-01-24,Wyoming,1989,1989,1988-11-18T00:00:00Z,FALSE
Jeff Grayer,grayeje01,F-G,77,200,1965-12-17,Iowa State,1989,1998,1988-11-22T00:00:00Z,FALSE
Steve Kerr,kerrst01,G,75,175,1965-09-27,Arizona,1989,2003,1988-12-17T00:00:00Z,FALSE
Todd Mitchell,mitchto01,F,79,205,1966-07-26,Purdue,1989,1989,1989-01-03T00:00:00Z,FALSE
Kelvin Upshaw,upshake01,G,74,180,1963-01-24,Utah,1989,1991,1989-01-12T00:00:00Z,FALSE
Rob Lock,lockro01,F,81,225,1966-05-22,Kentucky,1989,1989,1989-01-25T00:00:00Z,FALSE
Michael Anderson,andermi01,G,71,184,1966-03-23,Drexel,1989,1989,1989-01-27T00:00:00Z,FALSE
Bill Jones,jonesbi01,F,79,175,1966-03-18,Iowa,1989,1989,1989-02-02T00:00:00Z,FALSE
Corey Gaines,gaineco01,G,75,195,1965-06-01,"UCLA, Loyola Marymount",1989,1995,1989-02-09T00:00:00Z,FALSE
Jim Rowinski,rowinji01,F-C,80,250,1961-01-04,Purdue,1989,1990,1989-03-01T00:00:00Z,FALSE
Mike Champion,champmi01,F,82,230,1964-04-05,Gonzaga,1989,1989,1989-03-03T00:00:00Z,FALSE
Randy Allen,allenra01,F,80,220,1965-01-26,Florida State,1989,1990,1989-03-09T00:00:00Z,FALSE
